movie,rating,likes,dislikes,title,review
tt12042730,1,191,277,Scientifically offensive kid's movie in hell,"Contrary to massive PR lying campaign this is not intelligent nor science nor good. It has tender very moving movie moments but it's in a dystopian soup of offensively unintelligent scifi while claiming to be intelligent. It's toy story in hell with cartoon science. And it's 2½ hours long. Don't be sheep and give them your money. It's not visually impressive either at all, that's another shameless PR lie.I wouldn't rate this 1 if they didn't lie so much and so many sheep weren't praising it, paid or otherwise.The premise of the movie is that multiple stars are suddenly being eaten by bacteria at the same time at a pace millions of times faster than the stars' own thermonuclear explosions. Never mind that bacteria don't have space propulsion nor would survive thousands of degrees of the sun. The creature is also implausible as are many other story elements. It's not clever, it's not intelligent, only the scientifically illiterate are fooled that it is. It's like Lost. Or interstellar for that matter. Junk science by liars for sheep. But ignoring all that it is a drawn out tender cartoon buddy movie. I'd give it 4, maybe 5 if they promoted it as such without all the effing lying."
tt12042730,1,32,35,"Dull, unimaginative and emptish","It's fascinating how they promote a poor quality movie as something spectacular. I understand that in some countries government finances film industry, which is often run by uncreative kids of politicians or rich people, resulting in trashy unartistic movies. I wonder what caused such a decline in quality of the US films."
tt12042730,1,61,77,Waste of time,"I don't know what this movie should be. It was neither science fiction nor anything. There is no story or plot behind. Nobody laughed, bit also not many left during the movie. Just bad and way too long. Acting was okay. Even the music was bad. The music would have been better for a spring flower documentary, except some of the songs."
tt12042730,1,23,23,"flat, inconsequential & scientifically illogical",
tt12042730,1,22,22,Was this satire?,"After reading the many positive reviews and plot, I was convinced to buy a ticket and go watch it. Boy I was wrong... The beginning of the movie is interesting and compelling, with lots of plot holes but still a cool scientific premise. And then it just takes a turn into this dumb and ridiculous story that is so wacky and not what the beginning portion built it out to be. Such a waste of 2.30hrs. Every few minutes I thought to myself ""really... come on..."" was tempted to walk out a few times. Cinematically it was stunning, but that's it."
tt12042730,1,78,105,boring,Boring movie with no story or plot . Waste of time to see. Horrible acting like something you see high schoolers make. Don't waste money or time watching movie. Movie has no soul nothing to keep you in your seat.actors had no acting ability.the movie has to many flashbacks. Complete lack of story as written.
tt12042730,1,34,39,Overlong Story,"Possibly the worst movie I ever saw in a theatre. The story in the movie was really poor. None of the plot twists gave any real sense of what was going to happen next, so everything just felt confusing rather than exciting. On top of that, many of the scenes were unnecessarily long-honestly, about three-fifths of them could have been cut without losing anything important."
tt12042730,1,55,71,Worst movie I've ever seen,"I've seen some pretty bad movies. I saw this in the theater with some friends and My child. I couldn't wait till it was over. I actually ended up leaving the theater to go to the bathroom and not walking back in. There are way too many things that don't make sense and Farr too many things don't add. For example, how does an idiot get to go into space with a group of rocket scientists. How does he get to communicate with life forms suddenly without much effort at all? There is zero suspension of disbelief. Ryan Gosling has been way too many movies now. I wish you would take a break because this type of role did not need to be played by him. Couldn't stop thinking about other idiot roles he's played like Ken in the movie Barbie. This movie was totally made for the Bros and the manosphere who wish they were him. I've actually never walked out of a movie before, so at least have accomplished that now."
tt12042730,2,18,6,Interstellar from temu,"It's honestly hard to know where to begin with this film, because almost nothing about it works. The hype surrounding it feels completely undeserved. At its core, the movie comes across as a patchwork of ideas borrowed from better films-echoes of Interstellar, Moon, The Martian, and even 2001: A Space Odyssey are impossible to ignore-but without the originality or depth that made those films memorable.The tone is one of its biggest failures. It never fully commits to being a drama, yet its attempts at humor fall flat. The result is an awkward middle ground where nothing lands the way it should. The dialogue doesn't help either-it often feels unnatural or outright absurd, making it difficult to take any moment seriously.Then there's the story itself, which is riddled with glaring logical gaps. Suspension of disbelief can only go so far, and here it's constantly pushed past its limits. Character development is practically nonexistent; arcs feel incomplete or entirely absent, leaving no emotional anchor for the audience. It's hard to engage with a film when you don't care about anyone in it.As for Ryan Gosling, his performance raises questions-not necessarily about his talent, but about the project itself. It's difficult to see what drew him to this role. Even a stronger script might have allowed him to shine, but here, the material simply isn't there. No actor, no matter how skilled, could elevate something this fundamentally flawed-and one could argue that truly top-tier performers might have passed on it altogether.Visually, the film has been praised, but even that feels overstated. When compared to the likes of Dune, Blade Runner 2049, or Gravity, it falls short. And placing it anywhere near 2001: A Space Odyssey-a film that remains groundbreaking decades later-is almost absurd. In fact, many modern TV productions surpass it in terms of visual execution.In the end, this is a film that promises far more than it delivers. It lacks originality, coherence, and emotional impact. At over two and a half hours, it feels like a significant investment of time with very little payoff.Sincerely-this is one you can skip."
tt12042730,2,34,23,"Let me save you some time, money and outrage. THIS IS A KIDS MOVIE","This is EXACTLY what pixar will do if they make an apocaliptic movie. No more, no less. They send a goofy charchter to save the world with his goofiness and he befriends an alien.About an hour into the movie you realized that you walked into a trap, and you will have to make a choice either to leave the theater or stand the pain to the end. I did it, so you dont have to."
